@RELATION user-hierarchy

@ATTRIBUTE user STRING
@ATTRIBUTE continent STRING
@ATTRIBUTE country STRING
@ATTRIBUTE city STRING

@DATA
289494239,Europe,Spain,Barcelona
1026931,Europe,United Kingdom,Leeds
538558394,Europe,United Kingdom,Greater London
308378460,Europe,United Kingdom,Sidcup
190368978,Europe,France,Olmeto
115389206,Europe,Turkey,Sakarya
357062577,Europe,United Kingdom,Greater London
390406337,Europe,Italy,Rome
367115473,Europe,Italy,Rome
103851483,Europe,France,Paris
178719876,Europe,United Kingdom,London
144505812,Europe,France,Paris
228598116,Europe,Netherlands,Amsterdam
30329253,Europe,United Kingdom,Greater London
107744238,Europe,United Kingdom,Greater London
36179714,Europe,France,Paris
373276399,Europe,United Kingdom,Burnley
97784766,Europe,France,Besan莽on
264909378,Europe,United Kingdom,Slough
2269610421,Europe,United Kingdom,Greater London
165399661,Europe,Italy,Rome
25975016,Europe,Netherlands,Amsterdam
159972620,Europe,United Kingdom,London
152330543,Europe,Germany,Rheda-Wiedenbr眉ck
34465303,Europe,United Kingdom,Greater London
404721629,Europe,France,Paris
10185192,Europe,Netherlands,Amsterdam
1471989169,Europe,France,Paris
257654579,Europe,United Kingdom,London
147303906,Europe,France,Paris
121537359,Europe,Italy,Rome
1537519686,Europe,Netherlands,Amsterdam
396184675,Europe,France,Colombes
1726637498,Europe,Italy,Roma
303169031,Europe,United Kingdom,Greater London
294090469,Europe,France,Acign锟�
254123581,Europe,United Kingdom,Southend-on-Sea
242906019,Europe,United Kingdom,Swinton
21590358,Europe,United Kingdom,London
235424813,Europe,United Kingdom,London
37252761,Europe,United Kingdom,Greater London
1587577730,America,Chile,Colina
47954395,Europe,France,Paris
1105981070,Europe,France,Paris
59760966,Europe,United Kingdom,Greater London
31716754,Europe,United Kingdom,London
66089302,Europe,Italy,Minervino Murge
40877143,Europe,United Kingdom,Greater London
19061968,Europe,United Kingdom,Greater London
34935885,Europe,United Kingdom,Greater London
1442227968,Europe,France,Paris
187171036,Europe,France,Rueil-Malmaison
18729110,Europe,France,Paris
551806282,Europe,France,Paris
173297829,Europe,United Kingdom,London
205222100,Europe,United Kingdom,London
1885782650,Europe,Italy,Rome
65390379,America,United States,Los Angeles
1713327181,Europe,France,Paris
321652600,Europe,United Kingdom,Hampshire
119082900,Europe,France,Paris
34428383,Europe,United Kingdom,Greater London
871833150,Asia,Japan,Hekinan
37417180,Europe,France,Paris
396473856,Europe,United Kingdom,Basildon
74875149,Europe,United Kingdom,Greater London
15971612,America,United States,New York
409390999,Europe,United Kingdom,Greater London
822694122,Europe,France,Paris
2149156400,Europe,France,Paris
40648143,Europe,Netherlands,Amsterdam
217521914,Europe,Netherlands,Amsterdam
30270054,Europe,Netherlands,Amsterdam
344989027,Europe,United Kingdom,Barnet
23062434,Europe,Netherlands,Amstelveen
485196241,Europe,France,Garches
20986563,Europe,United Kingdom,Birkenhead
18720799,Europe,Netherlands,Nieuwegein
501233072,Europe,United Kingdom,Worthing
20721598,Europe,United Kingdom,Stanford-le-Hope
22171795,Europe,United Kingdom,London
